p,propLabel,eff
http://www.wikidata.org/prop/direct/P1248,KulturNav-ID,150
http://www.wikidata.org/prop/direct/P7847,DigitaltMuseum ID,149
http://www.wikidata.org/prop/direct/P4613,Encyclopedia of Modern Ukraine ID,148
http://www.wikidata.org/prop/direct/P6173,Bitraga author ID,147
http://www.wikidata.org/prop/direct/P6327,Goodreads character ID,147
http://www.wikidata.org/prop/direct/P2850,Apple Music artist ID (U.S. version),143
http://www.wikidata.org/prop/direct/P8899,Swedish National Library Arken ID,143
http://www.wikidata.org/prop/direct/P1473,BLPL author ID,140
http://www.wikidata.org/prop/direct/P5021,assessment,140
http://www.wikidata.org/prop/direct/P9522,Biblioteca di Santa Sabina ID,140
