,personUri,personLabel,birthYear,gender,countries,continents,occupations,fields
229,http://www.wikidata.org/entity/Q64437,Friedrich von Adelung,1768,male,Russian Empire,North America,"historian, jurist, linguist, orientalist, philologist, philosopher","history, law, linguistics, oriental studies, philology, philosophy"
232,http://www.wikidata.org/entity/Q108028,Theodor von Hallberg-Broich,1768,male,Holy Roman Empire,Europe,"prose writer, traveler, writer","literature, travel"
233,http://www.wikidata.org/entity/Q539977,Garlieb Merkel,1769,male,Russian Empire,North America,"journalist, literary critic, opinion journalist, philosopher, political activist, writer","literary criticism, literature, opinion journalism, philosophy"
235,http://www.wikidata.org/entity/Q171969,Georges Cuvier,1769,male,France,Europe,"anthropologist, archaeologist, biologist, botanist, geologist, naturalist, philosopher, politician, professor, university teacher, writer, zoologist","comparative anatomy, natural science, paleontology, zoology"
240,http://www.wikidata.org/entity/Q91869,Adolf Martin Schlesinger,1769,male,Germany,Europe,"bookseller, publisher","bookstore, literature, publisher, publishing company"
241,http://www.wikidata.org/entity/Q1079639,Christian Friedrich Michaelis,1770,male,Electorate of Saxony,Europe,"musicologist, pedagogue, philosopher, writer","aesthetics of music, musicology, philosophy"
242,http://www.wikidata.org/entity/Q75106,Dorothea von Rodde-Schlözer,1770,female,Kingdom of Hanover,Europe,philosopher,philosophy
246,http://www.wikidata.org/entity/Q9235,Georg Wilhelm Friedrich Hegel,1770,male,Kingdom of Württemberg,Europe,"philosopher, university teacher, writer","aesthetics, epistemology, logic, metaphysics, philosophy, philosophy of history, political philosophy, religion, social philosophy"
248,http://www.wikidata.org/entity/Q215608,Wilhelm Traugott Krug,1770,male,Kingdom of Prussia,Europe,"philosopher, university teacher",philosophy
250,http://www.wikidata.org/entity/Q75889,Friedrich Hölderlin,1770,male,Kingdom of Württemberg,Europe,"librarian, novelist, philosopher, poet, translator, writer","philosophy, poetry, prose, translation"
258,http://www.wikidata.org/entity/Q122133,Christian Friedrich Bernhard Augustin,1771,male,Germany,Europe,"historian, writer","Protestant church, Protestant theology, history, literature"
260,http://www.wikidata.org/entity/Q179374,Robert Owen,1771,male,Wales,Europe,"economist, entrepreneur, philosopher, politician, socialist, writer","Utopian socialism, economics, entrepreneurship, management, social policy"
261,http://www.wikidata.org/entity/Q6760104,Margaretta Faugères,1771,female,United States,North America,"essayist, novelist, playwright, poet, writer",essay
263,http://www.wikidata.org/entity/Q860169,Charles Athanase Walckenaer,1771,male,France,Europe,"anthropologist, entomologist, geographer, historian, naturalist, novelist, official, politician, zoologist","arachnology, entomology"
264,http://www.wikidata.org/entity/Q521589,Charlotte Dacre,1771,female,United Kingdom of Great Britain and Ireland,Europe,"novelist, poet, writer",poetry
265,http://www.wikidata.org/entity/Q79025,Walter Scott,1771,male,Kingdom of Great Britain,Europe,"biographer, historian, lawyer, linguist, literary critic, musicologist, novelist, playwright, poet, translator, writer",fiction
266,http://www.wikidata.org/entity/Q175299,Fath-Ali Shah Qajar,1771,male,Guarded Domains of Iran,Asia,"patron of the arts, poet, politician","literature, military administration, politics, revival"
270,http://www.wikidata.org/entity/Q82409,Samuel Taylor Coleridge,1772,male,Kingdom of Great Britain,Europe,"critic, literary critic, philosopher, poet, theologian, writer",philosophy
275,http://www.wikidata.org/entity/Q160270,David Ricardo,1772,male,Kingdom of Great Britain,Europe,"economist, philosopher, politician, writer","economics, economy"
277,http://www.wikidata.org/entity/Q181707,Charles Fourier,1772,male,France,Europe,"economist, philosopher, sociologist, writer",Fourierism
284,http://www.wikidata.org/entity/Q1176825,David Theodor August Suabedissen,1773,male,Germany,Europe,"pedagogue, philosopher, theologian, university teacher","pedagogy, philosophy, theology"
286,http://www.wikidata.org/entity/Q64406,Henrik Steffens,1773,male,Norway,Europe,"biologist, botanist, mineralogist, naturalist, philosopher, physiologist, poet, university teacher, writer","natural philosophy, natural science, philosophy, poetry"
287,http://www.wikidata.org/entity/Q1685085,Julius Bernhard Engelmann,1773,male,Kingdom of Bavaria,Europe,"educator, publisher, teacher, writer","education, literature"
289,http://www.wikidata.org/entity/Q271666,James Mill,1773,male,United Kingdom of Great Britain and Ireland,Europe,"economist, editor, essayist, historian, linguist, literary critic, philosopher, political scientist, politician, theologian, translator, writer",economics
290,http://www.wikidata.org/entity/Q508939,Josef Jungmann,1773,male,Austrian Empire,Europe,"historian, lexicographer, linguist, pedagogue, philologist, poet, teacher, translator, university teacher, writer","lexicography, linguistics, literature, pedagogy, philology, translating activity"
294,http://www.wikidata.org/entity/Q25820,Thomas Young,1773,male,United Kingdom of Great Britain and Ireland,Europe,"anthropologist, archaeologist, astronomer, botanist, entomologist, linguist, musician, philosopher, physician, physicist, physiologist, university teacher","linguistics, materials science, mechanics, physics"
298,http://www.wikidata.org/entity/Q77436,Jakob Friedrich Fries,1773,male,Kingdom of Prussia,Europe,"philosopher, university teacher, writer",philosophy
299,http://www.wikidata.org/entity/Q2355014,Étienne Aignan,1773,male,France,Europe,"journalist, playwright, poet, political writer, translator","journalism, literature, translation from English, translations from Greek"
300,http://www.wikidata.org/entity/Q77933,Caroline von Briest,1773,female,Kingdom of Prussia,Europe,"poet, writer","literature, poetry"
303,http://www.wikidata.org/entity/Q451727,Charles Bell,1774,male,United Kingdom of Great Britain and Ireland,Europe,"anatomist, neurologist, neuroscientist, painter, philosopher, physician, physiologist, surgeon, university teacher, writer","anatomy, natural theology, physiology"
305,http://www.wikidata.org/entity/Q65074,Georg Hermes,1775,male,Kingdom of Prussia,Europe,"philosopher, theologian, university teacher","philosophy, theology"
306,http://www.wikidata.org/entity/Q15447468,Georg Emanuel Opiz,1775,male,Austrian Empire,Europe,"draftsperson, novelist, painter, printmaker, university teacher, writer","art of painting, creative and professional writing, graphic arts, graphics"
307,http://www.wikidata.org/entity/Q36322,Jane Austen,1775,female,Kingdom of Great Britain,Europe,"novelist, writer",literature
309,http://www.wikidata.org/entity/Q60070,Friedrich Wilhelm Joseph Schelling,1775,male,Kingdom of Württemberg,Europe,"philosopher, university teacher, writer","aesthetics, epistemology, metaphysics, natural philosophy, natural science"
311,http://www.wikidata.org/entity/Q18117862,Adrien de Sarrazin,1775,male,France,Europe,"novelist, playwright, writer","French drama, French literature"
312,http://www.wikidata.org/entity/Q5362401,Elizabeth Benger,1775,female,Kingdom of Great Britain,Europe,"biographer, linguist, novelist, poet, translator, women's rights activist, writer",literature
313,http://www.wikidata.org/entity/Q1340247,William Thompson,1775,male,United Kingdom of Great Britain and Ireland,Europe,"economist, philosopher, politician, writer","economics, philosophy, social justice"
314,http://www.wikidata.org/entity/Q5497135,Frederic Shoberl,1775,male,Kingdom of Great Britain,Europe,"illustrator, journalist, translator, writer","literature, opinion journalism, visual arts"
315,http://www.wikidata.org/entity/Q61929,Paul Johann Anselm Ritter von Feuerbach,1775,male,Saxe-Weimar-Eisenach,Europe,"jurist, legal scholar, philosopher, university teacher, writer",criminology
318,http://www.wikidata.org/entity/Q675,André-Marie Ampère,1775,male,France,Europe,"chemist, engineer, inventor, mathematician, philosopher, physicist",electromagnetism
319,http://www.wikidata.org/entity/Q1555609,Gustav Seckendorf,1775,male,Germany,Europe,"actor, pedagogue, writer","acting, literature, pedagogy"
325,http://www.wikidata.org/entity/Q3750526,Francesco Reina,1776,male,Kingdom of Lombardy–Venetia,Europe,"politician, writer","literature, politics"
326,http://www.wikidata.org/entity/Q84512,Wilhelm von Schütz,1776,male,Kingdom of Prussia,Europe,"essayist, literary critic, playwright, poet, writer",literature
327,http://www.wikidata.org/entity/Q770092,András Angyalffy Mátyás,1776,male,Hungary,Europe,"agronomist, non-fiction writer, teacher, writer","agriculture, agronomy, literature"
328,http://www.wikidata.org/entity/Q1458933,Friedrich Ehrenberg,1776,male,Germany,Europe,"theologian, writer","Protestant theology, literature"
329,http://www.wikidata.org/entity/Q3172923,Jean Labouderie,1776,male,France,Europe,"canon, orientalist, preacher, priest, vicar, writer","literature, oriental studies"
332,http://www.wikidata.org/entity/Q7103,Sophie Germain,1776,female,France,Europe,"mathematician, philosopher, physicist","mathematics, mechanics, number theory, philosophy, physics"
334,http://www.wikidata.org/entity/Q150471,E. T. A. Hoffmann,1776,male,Kingdom of Prussia,Europe,"composer, conductor, critic, director, draftsperson, music critic, novelist, painter, science fiction writer, screenwriter, writer","art of painting, conducting, creative and professional writing, music, music criticism, prose"
335,http://www.wikidata.org/entity/Q331856,Józef Maria Hoene-Wroński,1776,male,Polish–Lithuanian Commonwealth,Europe,"economist, mathematician, military personnel, philosopher",mathematics
336,http://www.wikidata.org/entity/Q4223221,Georg Michael Klein,1776,male,Germany,Europe,"philologist, philosopher, theologian, university teacher","philology, philosophy, theology"
338,http://www.wikidata.org/entity/Q273200,Sophie Gay,1776,female,France,Europe,"composer, novelist, playwright, writer","creative and professional writing, music"
339,http://www.wikidata.org/entity/Q1536185,José Cecilio del Valle,1777,male,Federal Republic of Central America,Central America,"journalist, jurist, lawyer, philosopher, politician, writer","philosophy, politics"
345,http://www.wikidata.org/entity/Q77636,Georg Anton Friedrich Ast,1778,male,Duchy of Saxe-Coburg and Gotha,Europe,"classical philologist, classical scholar, historian, philosopher, translator, university teacher","aesthetics, classical philology, history, history of philosophy, translation into German, translations from Greek, translations from Latin"
346,http://www.wikidata.org/entity/Q716145,Mihailo Vitković,1778,male,Hungary,Europe,"jurist, poet, writer",literature
347,http://www.wikidata.org/entity/Q333220,"Henry Brougham, 1st Baron Brougham and Vaux",1778,male,Kingdom of Great Britain,Europe,"jurist, philosopher, politician, statesperson, writer","law, political science"
348,http://www.wikidata.org/entity/Q55681848,František Jan Svoboda,1778,male,Austrian Empire,Europe,"pedagogue, philologist, philosopher, poet, teacher, translator","pedagogy, philology, poetry, translation"
355,http://www.wikidata.org/entity/Q126596,William Hazlitt,1778,male,United Kingdom of Great Britain and Ireland,Europe,"journalist, literary critic, painter, philosopher, translator, writer",philosophy
356,http://www.wikidata.org/entity/Q1040724,Carl Streckfuß,1778,male,Electorate of Saxony,Europe,"jurist, translator, writer","law, literature, translation"
358,http://www.wikidata.org/entity/Q372969,James Kirke Paulding,1778,male,United States,North America,"novelist, poet, politician, writer","literature, state administration"
360,http://www.wikidata.org/entity/Q214750,Joseph Franz Molitor,1779,male,Germany,Europe,"philosopher, politician, writer","Kabbalah, philosophy of history"
361,http://www.wikidata.org/entity/Q55069834,Lorenz Oken,1779,male,Holy Roman Empire,Europe,"biologist, botanist, entomologist, naturalist, philosopher, physician, university teacher","botany, medicine, mycology, natural philosophy, physiology, zoology"
362,http://www.wikidata.org/entity/Q5880543,Giuseppe Marzari-Pencati,1779,male,Kingdom of Lombardy–Venetia,Europe,"botanist, geographer, geologist, philosopher","geography, geology, philosophy"
364,http://www.wikidata.org/entity/Q71911,Dietrich Georg von Kieser,1779,male,Holy Roman Empire,Europe,"botanist, physician, psychiatrist, university teacher",philosophy
365,http://www.wikidata.org/entity/Q63176,Adam Müller,1779,male,Kingdom of Prussia,Europe,"economist, literary critic, opinion journalist, philosopher, politician, writer","economics, literary studies, opinion journalism, politics"
367,http://www.wikidata.org/entity/Q1037615,Karl Emil Diezel,1779,male,Germany,Europe,"hunter, musician, non-fiction writer, philosopher, writer","huntsmanship, literature"
370,http://www.wikidata.org/entity/Q168356,Adam Oehlenschläger,1779,male,Kingdom of Denmark,Europe,"autobiographer, lyricist, playwright, poet, university teacher, writer",literature
373,http://www.wikidata.org/entity/Q468272,Washington Allston,1779,male,United States,North America,"artist, novelist, painter, poet, writer",art of painting
374,http://www.wikidata.org/entity/Q76892,Friedrich Carl von Savigny,1779,male,Kingdom of Prussia,Europe,"jurist, philosopher, politician, university teacher, writer",jurisprudence
